Código;Descripción
11101;Cultivo De Trigo 
11102;Cultivo De Maíz
11103;Cultivo De Avena
11104;Cultivo De Cebada
11105;Cultivo De Otros Cereales (Excepto Trigo, Maíz, Avena Y Cebada)
11106;Cultivo De Porotos
11107;Cultivo De Lupino
11108;Cultivo De Otras Legumbres (Excepto Porotos Y Lupino)
11109;Cultivo De Semillas De Raps
11110;Cultivo De Semillas De Maravilla (Girasol)
11111;Cultivo De Semillas De Cereales, Legumbres Y Oleaginosas (Excepto Semillas De Raps Y Maravilla)
11200;Cultivo De Arroz
11301;Cultivo De Papas
11302;Cultivo De Camotes
11303;Cultivo De Otros Tubérculos (Excepto Papas Y Camotes)
11304;Cultivo De Remolacha Azucarera
11305;Cultivo De Semillas De Hortalizas
11306;Cultivo De Hortalizas Y Melones 
11400;Cultivo De Caña De Azúcar
11500;Cultivo De Tabaco
11600;Cultivo De Plantas De Fibra
11901;Cultivo De Flores
11902;"Cultivos Forrajeros En Praderas Mejoradas O Sembradas; Cultivos Suplementarios Forrajeros"
11903;"Cultivos De Semillas De Flores; Cultivo De Semillas De Plantas Forrajeras"
12111;Cultivo De Uva Destinada A La Producción De Pisco Y Aguardiente
12112;Cultivo De Uva Destinada A La Producción De Vino
12120;Cultivo De Uva Para Mesa
12200;Cultivo De Frutas Tropicales Y Subtropicales (Incluye El Cultivo De Paltas)
12300;Cultivo De Cítricos
12400;Cultivo De Frutas De Pepita Y De Hueso
12501;Cultivo De Semillas De Frutas
12502;Cultivo De Otros Frutos Y Nueces De Árboles Y Arbustos
12600;Cultivo De Frutos Oleaginosos (Incluye El Cultivo De Aceitunas)
12700;Cultivo De Plantas Con Las Que Se Preparan Bebidas (Incluye El Cultivo De Café, Té Y Mate)
12801;Cultivo De Especias
12802;Cultivo De Plantas Aromáticas, Medicinales Y Farmacéuticas
12900;Cultivo De Otras Plantas Perennes
13000;Cultivo De Plantas Vivas Incluida La Producción En Viveros (Excepto Viveros Forestales)
14101;Cría De Ganado Bovino Para La Producción Lechera
14102;Cría De Ganado Bovino Para La Producción De Carne O Como Ganado Reproductor
14200;Cría De Caballos Y Otros Equinos
14300;Cría De Llamas, Alpacas, Vicuñas, Guanacos Y Otros Camélidos
14410;Cría De Ovejas (Ovinos)
14420;Cría De Cabras (Caprinos)
14500;Cría De Cerdos
14601;Cría De Aves De Corral Para La Producción De Carne
14602;Cría De Aves De Corral Para La Producción De Huevos
14901;Apicultura
14909;Cría De Otros Animales N.C.P.
15000;Cultivo De Productos Agrícolas En Combinación Con La Cría De Animales (Explotación Mixta)
16100;Actividades De Apoyo A La Agricultura
